ID,YEAR,DATE,DAY_WEEK,TIME,FULL_ADDRESS,LON,LAT,TYPE,SOURCE,XFINAL,Xkm,YFINAL,Ykm,Address,Main,RoadType,ISINTERSEC,TRACT,CouncilDIS,Councillor,PlanningDi,OIF1,OIF2,OIF3,OIF4,BLFinal,CS,LIGHTING,Indoor,Light,LightEng,WEATHER,PrecipCond,AtmosCondi,DayNight,Tmax,Tmin,Tavg,Temprange,SunriseTim,SunsetTime,SnowFall,PrecipTota,Fault,Doored,HelmetDocu,TaxiFinal,hitrunfina,AlcoholFin,INJURED,TRANSPORTE,TREATED,GENDER,ETHNICITY,AGE,Narrative,
B1001,2009,1/9/2009,Friday,2:25:00 PM,"1001 Commonwealth Ave Allston , MA, USA",-71.1209594,42.3522886,BVA,E911,758540.606275,231203.176793,2953408.92716,900199.040998,1001 Commonwealth Ave,0,Exe,1,801,8,Councillor Ross,Allston/Brighton,7,98,98,98,0,0,OUTSIDE - DAY,0,99,0,SUNNY - DAY,3,3,1,28,21,25,7,7:13:00 AM,4:30:00 PM,0,0,0,0,0,0,0,0,1,0,0,MALE,WHITE NON-HISPANIC,,"About xxxx hrs, on Friday, xxxxxxxx, Officer Ho in the xxxxx unit responded to a radio call to xxxxxxx St and xxxxxxxxxxxx Ave for bicyclist struck by a motor vehicle. On arrival, officer spoke with the bicyclist, xxxxx xxxxxx, who stated that he was traveling east on xxxxxxx St, as he was making a right turn onto outbound of xxxxxxxxxxxx Ave he and MA REG xxxxxx bumped into each other. xxxxx sustained minor scrape to his left leg and refused medical attention. It should be noted that xxxxx did not report any damages to his bicycle. Officer spoke with the operator of MA REG xxxxxx, xxxxxxx xxxxx, who stated that he was traveling north on xxxxxxx St, as he was making a left turn onto outbound of xxxxxxxxxxxx Ave he and the bicyclist bumped into each other. xxxxxxx reported no damages to his vehicle and refused medical attention. Units responded were xxxx (Sgt. xxxxx) and EMS xxxx and xxxx.",
B1002,2009,1/23/2009,Friday,4:44:00 PM,"280 Brighton Ave Allston , MA, USA",-71.137153,42.3534811,BVA,ON-SITE,754177.66651,,2954071.446504,900400.976894,280 Brighton Ave,0,Emp,1,802,9,Councillor Ciommo,Allston/Brighton,10,98,98,98,0,0,OUTSIDE - DAY,0,99,0,CLOUDY,3,3,4,39,25,32,14,7:06:00 AM,4:46:00 PM,0,0,0,0,0,0,0,0,1,0,0,MALE,WHITE NON-HISPANIC,47,"ABOUT xxxxx OFFICER xxxxxx ASSIGNED TO THE xxxxx ON-SITED A MOTOR VEHICLE ACCIDENT INVOLVING A  xxxx xxxx xxxx TOYOTA COROLLA AND A BICYCLIST AT CAMBRIDGE ST AND N. BEACON.
     OFFICER SPOKE WITH THE MOTORIST xxxxxxx E. xxxx OF xxxx xxxxxxxxxxxx AVE. BOSTON,  OPERATING A xxxx TOYOTA COROLLA  xxxx xxxx  WITH A STATE OF xxxxx  REG. xxxxxx  ( OWNED BY xxxxxx RENTAL CAR xxxxxxx OFFICE ), STATED THAT SHE WAS STOPPED AT A RED LIGHT AT THE INTERSECTION OF CAMBRIDGE ST AND  N. BEACON ST.   SHE  PROCEEDED  TO CROSS THE INTERSECTION  AND TURN LEFT ON TO BRIGHTON AVE ONCE THE TRAVELING LANE SHE WAS TRAVELING IN RECEIVED THE GREEN LIGHT AND THE DIRECTION OF TRAVEL APPEARED TO BE CLEAR, AS MS. xxx TURNED  IN ATTEMPT TO ENTER ON TO BRIGHTON AVE SHE COLLIDED WITH A BICYCLIST. MS. xxx FURTHER STATED THAT SHE DID NOT SEE THE BICYCLIST UNTIL THE ACCIDENT. 
      OFFICER ALSO SPOKE WITH THE BICYCLIST xxxx E. xxxxxx  OF xx ARLINGTON ST SOMERVILLE, WHO WAS RIDING A RED  xxxxxxx MOUNTAIN BIKE AND STATED THAT HE WAS TRAVELING ON CAMBRIDGE ST HE STOPPED AT THE  INTERSECTION OF CAMBRIDGE ST AND BRIGHTON AVE BRIEFLY STOPPED TO OBSERVE TRAFFIC BEFORE ENTERING THE INTERSECTION IN ORDER TO CROSS OVER ONTO N. BEACON ST (xxxxxxxx).  MR xxx STATED THAT HE WAS  AWARE THAT HE HAD THE RED LIGHT, AND THOUGHT IT WAS SAFE TO PROCEED WHEN HE OBSERVED A xxxxx IN TRAFFIC, AT WHICH TIME HE COLLIDED WITH A xxxx TOYOTA COROLLA WITH xxxxx REG xxxxxx. 
    NO APPARENT DAMAGE TO THE MOTOR VEHICLE, THE BICYCLE RECEIVED DAMAGES TO THE FRONT WHEEL AND  BICYCLE FRAME. MR. xxx FURTHER STATED THAT HE FELT A SLIGHT HEADACHE AND MINOR PAIN ON LEFT KNEE AND LEG AREA, BUT REFUSED MEDICAL ATTENTION",
B1003,2009,1/25/2009,Sunday,12:45:00 PM,"50 Kenilworth St Roxbury , MA, USA",-71.088349,42.3291269,BVA,E911,767665.919501,233984.572264,2945062.789269,897655.138169,50 Kenilworth St,0,Res,0,80600,7,Councillor Jackson,Roxbury,7,98,98,98,0,0,OUTSIDE - DAY,0,99,0,SUNNY - DAY,3,3,1,24,8,16,16,7:04:00 AM,4:49:00 PM,0,0,0,0,0,0,0,0,1,1,1,MALE,BLACK NON-HISPANIC,72,"AT APPROXIMATELY xxxxxxx OFFICER LAMB,xxxxx, RESPONDED TO A RADIO CALL AT xxxxxxxxxx ST./ xxxxxxx AV. FOR A BICYCLIST STRUCK BY A MOTOR VEHICLE. ON ARRIVAL OFFICER OBSERVED FIRE PERSONNEL SPEAKING WITH THE VICTIM/BICYCLIST, WHOM WAS STANDING AND WALKING. OPERATOR, A xxxxx xxxxx, OF MOTOR VEHICLE HAVING A MASS xxxxxx, STATED HE WAS ON xxxxxxx AV. AND HAD STOPPED AT xxxxxxxxxx ST.,xx. xxxxxxxxxxxxxx xxxxx STATED HE STARTED TO PROCEED,BUT STOPPED UPON OBSERVING THE xxxxxxxxxxxxx WALKER IN FRONT OF HIS VEHICLE. xxxxxxxxxxx. xxxxx STATED THE VICTIM WAS BICYCLING THE WRONG WAY ON xxxxxxxxxx,A ONE WAY STREET,TRAVELING ACROSS xxxxxxx AV.,xx. xxxxxxxxxxx xxxxx AND FRONT SEAT xxxxxxxxxxxxxxxxxx'S WIFE, A xxxxxxx xxxxx, STATED THE VEHICLE STOPPED IMMEDIATELY UPON MAKING MINOR CONTACT WITH THE VICTIM'S BICYCLE, A xxxxx xx BLACK ONE SPEED MOUNTAIN BIKE STYLE WHICH WAS NOT DAMAGED. OFFICER NOTIFIED THE xxxx, SGT. xxxxxxxx OF THE VICTIM'S AGE AND INJURIES. HEALTH & HOSPITALS xxx EMTS. xxxxxxxxxxxxxxx RESPONDED AND TRANSPORTED THE VICTIM, WHOM SUSTAINED TWO(x) MINOR HEAD ABRASIONS AND COMPLAINED OF RIGHT THIGH PAIN, TO BOSTON MEDICAL CENTER xxxxxx xxxxxxxx. VICTIM WAS COHERENT,BUT UNABLE TO PROVIDE HIS APARTMENT NUMBER OR PHONE NUMBER. THE VICTIM'S BIKE WAS PLACED IN THE AMBULANCE. OFFICER FILED A COMM. OF MASS. xxxxxx MOTOR VEHICLE CRASH xxxxxxxxxxxxxxxxxxxx xxxxx PROVIDED TWO PHONE NUMBERS,
#x)(xxx)xxxxxxxx,AND #x)(xxx)xxxxxxxx.",
B1004,2009,2/5/2009,Thursday,5:05:00 AM,"584 Saratoga St East Boston , MA, USA",-71.0228808,42.381653,BVA,E911,785131.513067,239308.085183,2964482.535262,903574.276748,584 Saratoga St,0,Res,1,51000,1,Councillor LaMattina,East Boston,3,98,98,98,0,0,NAT/ART,1,99,0,CLEAR/DRY,3,3,2,20,8,14,12,6:53:00 AM,5:03:00 PM,0,0,0,0,0,0,0,0,1,1,1,MALE,WHITE NON-HISPANIC,61,"About xxxxxx on Thursday, xxxxxxxxxx, Officer xxxxxxx in the xxxxx unit responded to a radio call for a pedestrian struck at xxxxxxxx Street and xxxxx Street, E. Boston.  On arrival the victim, Mr. xxx xxxxxx, was being treated by Ambulance xxxx EMT's (xxxxxxxxxxxxxxx).  
     Mr. xxx stated that he was riding his bicycle from the off ramp from xxxxxxxxx Highway turning left toward xxxxx Street.  Mr. xxx stated that he then turned left onto xxxxxxxx Street when a dark blue or dark brown truck (possibly with xxxxx on side of truck and possible x tires on rear xxxx) clipped the rear tire of his bike and his right leg causing him to lose control and fall.  Mr. xxx stated that he has no further information on the bike.  Mr. xxx complained of injury to right leg and back as of this time.  Mr. xxx was transported to the Mass General Hospital.  
     Officer xxxxxxx contacted Mr xxx. xxx xxxxxx per Mark's request to inform her of the situation.  Mr. xxx's bike was brought to xxx and secured.",
B1005,2009,2/8/2009,Sunday,8:37:00 AM,"222 Harrison Ave Central Boston , MA, USA",-71.0626661,42.3476859,BVA,E911,774375.486713,236029.64835,2952009.520688,899772.501906,222 Harrison Ave,0,Com,0,70200,2,Councillor Linehan,Central,6,98,98,98,0,0,OUTSIDE - DAY,0,99,0,RAIN,3,2,1,51,35,43,16,6:50:00 AM,5:07:00 PM,0,0,0,0,0,0,0,0,0,0,0,MALE,BLACK NON-HISPANIC,48,"About xxxx hrs on xxxxxx xxxxxx Officer xxxx as the xxxxx unit received a radio call for a bicyclist struck at xxx Harrison Ave.

Upon arrival officer observed a bicycle on the middle of the street in front of a blue xxx van with xx reg# xxxxxx. Officer observed a xxx sitting on the steps to the right next to xxx Harrison Ave later identified as xxxxx xxxxx (xxx xxxxxx) the bicyclist. xxxxx stated to officer that he was on his bicycle heading up Harrison Ave from xxxxxxxx Road when he collided with a vehicle. xxxxx was evaluated by EMS xxx (xxxxxxxxxxxxxxx) who declined treatment and signed EMS xxxxxx. xxxxx stated that he had something on the xxxxx at home and will check himself into the hospital if necessary. The operator of the vehicle was identified as xxx K xxx (xxx xxxxxxxx xxxx. xxxxxxxxxxxx). Witness xxx xxxx (xxxxxxxxxxxx) stated to officer that the bicyclist was going pretty fast up Harrison Ave in the middle of the street and collided with the blue van. 

The xxxx Sgt. xxxxxxx was notified and responded.",
B1006,2009,2/9/2009,Monday,11:12:00 PM,"59 Lindall St Roslindale , MA, USA",-71.1253792,42.2866264,BVA,E911,757463.286569,230874.809746,2929595.911325,892940.833772,59 Lindall St,0,Res,0,110401,5,Councillor Consalvo,Roslindale,10,98,98,98,0,0,OUTSIDE - NIGHT - STREET LIGHTS,0,0,0,CLEAR - NIGHT,3,3,2,39,25,32,14,6:49:00 AM,5:08:00 PM,0,0,0,0,1,0,0,0,1,1,1,MALE,99,26,"R/C to the above for a M/V accident bicyclist struck. Officers found Mr. xxx at the intersection of xxxxxxx and Linden sts being treated by BFD and xxxx. Mr. xxx reports while traveling north on Linden towards Cambridge st on his bike, light illuminated front and back and helmeted; he was struck by Mass Reg xxxxxx travelling south on Linden making a left turn onto xxxxxxx st. Operator Miss xx said she did not see Mr. xxx as she cut into the intersection close to the left curbing. The victim bounce of the hood causing a large dent and his head struck the windshield causing a the windshield to shatter. The victim was removed to St xxxxxxxxx's hospital by xxxx with a shoulder injury. His Bicycle was taken to District xx for safe keeping. Miss xx cared for her M/V",
B1007,2012,6/29/2012,Tuesday,3:42:59 PM,"MA, USA",-71.3824374,42.4072107,BVA,E911,,,,,,,,1,,,,,,98,98,98,0,0,OUTSIDE - DAY,0,,0,CLOUDY,3,3,1,37,25,31,12,6:47:00 AM,5:09:00 PM,0,0,0,0,0,1,0,0,1,1,1,MALE,WHITE HISPANIC,54,"ABOUT xxxxxx ON xxxxxxxx THE xxxxx(xxxxxxxx) RECEIVED A RADIO CALL FOR A PEDESTRIAN STRUCK AT THE ABOVE LOCATION.  UPON ARRIVAL OFFICER xxxxxxxx SPOKE TO THE DRIVER(xxxxxxx xxxxxxxx) OF MA REG xxxxxx WHO STATED THAT SHE WAS ON xxxxxxxxxx AVE. TURNING RIGHT ONTO xxxxxx ST. WITH THE GREEN LIGHT, WHEN ALL OF A SUDDEN A PERSON ON A BIKE RODE INTO THE RIGHT REAR DOOR OF HER CAR.  OFFICER xxxxxxxx DID OBSERVE A LARGE xxxxxxxxxxxx TO RIGHT REAR DOOR OF MS. xxx M/V.  OFFICER xxxxxxxx THEN SPOKE TO THE PERSON WHO A WAS ON THE BIKE  (xxxxxxxxx xxxxxx).  MR. xxx STATED HE WAS RIDING HIS BIKE ON THE SIDEWALK OF xxxxxxxxxx AVE, LOOKED UP AND SAW THE GREEN LIGHT SO HE WENT TO CROSS xxxxxx ST. WHEN A BLACK CAR DROVE IN FRONT OF HIM AND HE RODE INTO IT.  OFFICER xxxxxxxx ALSO OBSERVED THAT MR. xxx' BIKES FRONT TIRE WAS BENT AND IT HAD NO REAR BRAKES(THE BRAKE CABLE WAS MISSING).  MR. xxx WAS CHECKED OUT BY FIRE ENGINE xx,PARAMEDIC x AND AMBULANCE xx.  MR. xxx WAS TRANSPORTED TO THE xxxxxxxxxxxxx. BY PARAMEDIC x BECAUSE HE COMPLAINED OF A SORE LEFT HIP AND LOWER BACK.  MR. xxx' BIKE WAS STORED AT AREA xxx.",
B1008,2009,2/13/2009,Friday,1:41:00 PM,"136 Tremont St Central Boston , MA, USA",-71.062033,42.35559,BVA,E911,774373.046669,236028.904625,2954952.107186,900669.40227,136 Tremont St,1,Com,0,70100,2,Councillor Linehan,Central,14,98,98,98,0,0,OUTSIDE - DAY,0,99,0,SUNNY - DAY,3,2,1,42,29,36,13,6:43:00 AM,5:13:00 PM,0,0.01,0,0,1,0,0,0,1,1,1,MALE,WHITE NON-HISPANIC,25,"About xxxxxx on Friday, xxxxxxxx, Officer xxxxxx (xxxxx) and Officer xxxxxx (xxxxx) received a radio call for a motor vehicle accident with a pedestrian located at xxx Tremont St, Boston. Officers were assisted by Superintendent xxxxxxx (xxx), Deputy Superintendent xxxxxxxxx (xxxx), Lieutenant xxxxxxxxxx (xxxx) and Officer xxxxx (xxxxx).

On arrival, Officers observed a white xxxx Nissan xxxxxxxxxx (MA REG: xxxxxx, VIN: xxxxxxxxxxxxxxxxx) parked in the left lane in front of xxx Tremont St. 

Officers observed a white male (later identified as xxx xxxxxxxx) laying in the left lane of Tremont St, in front of the Nissan xxxxxxxxxx, being attended to by Boston EMS (xxx: xxxxxxxxxxxxx). 

Officers observed Boston Fire Department (xxx and xxx) on scene. 

Officer xxxxxx spoke with xxxxxxxx, who was alert and conscious. Officer xxxxxx did not observe any visible injuries. xxxxxxxx stated that the right side of his back was sore. 

xxxxxxxx stated that he was riding his bicycle in the left lane of Tremont St. As he passed a white Nissan xxxxxxxxxx, his right handlebar got xxxxxx onto the motor vehicle. xxxxxxxx could not xxxxxxxx his handlebar from the motor vehicle. xxxxxxxx stated that the handlebar of his bicycle turned in towards the motor vehicle and then he flipped over his handlebars. xxxxxxxx landed on the hood of the motor vehicle and then fell onto the roadway. xxxxxxxx stated that he believed the motor vehicle was traveling about xx MPH. xxxxxxxx was not wearing a helmet.

A friend of xxxxxxxx took custody of his bicycle. 

Boston EMS transported xxxxxxxx to New xxxxxxx Medical Center for further evaluation.

Officers spoke with the operator of the white Nissan xxxxxxxxxx. He was identified as xxxxxxxx xxxxxxx (xxx: xxxxxxxx, MA xxx: xxxxxxxxx). xxxxxxx informed officers that he was in the left lane on Tremont St rolling about x MPH when the bicyclist came from behind and then collided with his motor vehicle. 

The passenger inside the white Nissan xxxxxxxxxx was identified as xxxxxx xxxxxx (xxx: xxxxxxxx). xxxxxx stated that he believed the motor vehicle was going about x MPH when he observed the bicycle's handlebar xxxxx xxxxxxxxx and then hit the motor vehicle. 

Officers observed scuff marks on the front driver's side quarter panel of the Nissan xxxxxxxxxx.

Officers spoke with witnesses on scene. 

Officer xxxxxx spoke with xxxxxx Spokes who stated that the bicycle came from behind the motor vehicle and then collided with the motor vehicle. 

Officer xxxxxx spoke with xxx xxxxxxxx who observed xxxxxxxx land on top of the hood of the motor vehicle and then slide down onto the pavement. 

No citations were issued.",
B1009,2009,2/13/2009,Friday,5:45:00 PM,"420 Marlborough St Back Bay , MA, USA",-71.0889892,42.3500749,BVA,E911,767236.546561,233853.699392,2952847.872836,900028.03164,420 Marlborough St,0,Res,1,10800,8,Councillor Ross,Back Bay/Beacon Hill,7,98,98,98,0,0,OUTSIDE - NIGHT - STREET LIGHTS,0,0,0,CLEAR - NIGHT,3,2,4,42,29,36,13,6:43:00 AM,5:13:00 PM,0,0.01,0,0,0,0,0,1,1,0,0,FEMALE,WHITE NON-HISPANIC,23,"ABOUT xxxx PM, FRIDAY, xxxxxxx P.O. xxxxxx IN THE xxxxx ALONG WITH THE xxxx, SGT xxxxxx RESPONDED TO A RADIO CALL FOR A MOTOR VEHICLE ACCIDENT AT MASSACHUSETTS AVE & xxxxxxxxxxx ST. 
      ON ARRIVAL, OFFICERS OBSERVED BOSTON EMS xxxx, (EMT'S xxxxxxxx  & xxxxxx) AND BOSTON FIRE DEPARTMENT ATTENDING TO VICTIM xxxxx MARTIN (xxx xxxxxxx) FOR PAIN TO HER LEFT LEG. OFFICER SPOKE TO OPERATOR OF MOTOR VEHICLE MA REG xxxxxx (BLACK xx ACURA xxxx x DR) xxx xxxx (xxx xxxxxxx) WHO STATED THAT HE WAS TRAVELLING INBOUND ON MASSACHUSETTS AVE AND HAD A SOLID GREEN LIGHT WHEN HE ATTEMPTED TO TAKE A LEFT HAND TURN ON TO xxxxxxxxxxx ST. AT THIS TIME THE VICTIM, WHO WAS ON A BICYCLE, COLLIDED WITH THE PASSENGER SIDE OF THE MOTOR VEHICLE. OFFICER SPOKE WITH VICTIM xxxxx MARTIN WHO STATED THAT SHE WAS TRAVELLING OUTBOUND ON MASSACHUSETTS AVE AND HAD THE GREEN LIGHT AT xxxxxxxxxxx ST WHEN SHE SAW HEADLIGHTS THEN THE NEXT THING SHE REMEMBERS SHE WAS ON THE GROUND. WITNESS xxxxxx xxxxxx  (xxx xxxxxxx), WHO WAS TRAVELLING WITH THE VICTIM ON A BICYCLE, STATED THAT WHEN OPERATOR xxxx EXITED HIS MOTOR VEHICLE HE TALKING ON A xxxxxxxx TELEPHONE. WHILE INTERVIEWING THE VICTIM AND WITNESS THE OFFICER xxxxxxxx A STRONG ODOR OF ALCOHOL. OFFICER ASKED THE PARTIES IF THEY WERE DRINKING AND THE WITNESS STATED THEY HAD A DRINK BUT WERE FINE. VICTIM REFUSED MEDICAL ATTENTION BY BOSTON EMS. TO BE FURTHER INVESTIGATED BY AUTO INVESTIGATOR.",
B1010,2009,2/19/2009,Thursday,8:33:00 PM,"87 Huntington Ave Back Bay , MA, USA",-71.0804713,42.3464719,BVA,E911,769624.931678,234581.679176,2951610.166812,899650.778844,87 Huntington Ave,0,Emp,0,10600,2,Councillor Linehan,Back Bay/Beacon Hill,7,98,98,98,0,0,OUTSIDE - NIGHT - STREET LIGHTS,0,0,0,RAIN,1,2,2,48,28,38,20,6:35:00 AM,5:21:00 PM,0.3,0.3,0,0,0,0,1,0,1,0,0,FEMALE,99,21,About xxxxx Officer xxxxxxx in the xxxxx responded to a radio call at xxx Huntington av pedestrian struck. Upon arrival of spoke to victim. Victim states she was riding her bicycle on Huntington av traveling outbound on the sidewalk when she (victim ) rode onto the street at the intersection of Ring rd and Huntington she was struck by a motor vehicle traveling on Ring rd towards Huntington av . Victim suffered minor injuries to her left foot. Victim refused medical attention.  Motor vehicle involved in accident was xx reg xxxxxxx black xxxx Explorer xxxx operated by xxxxxx xxxxxxxx xxx xxxxxxxxxx. Operator gave his information to victim then left the scene after assisting victim,
