Street,Event,Datetime
Columbia Rd,Trip,2010-05-02 07:01:55
Marine Rd,Trip,2010-05-02 07:01:55
L St,Trip,2010-05-02 07:01:55
Summer St,Trip,2010-05-02 07:01:55
Congress St,Trip,2010-05-02 07:01:55
Seaport Blvd,Trip,2010-05-02 07:01:55
Seaport Ln,Trip,2010-05-02 07:01:55
Sleeper St,Trip,2010-05-02 07:01:55
Atlantic Ave,Trip,2010-05-02 07:01:55
E India Row,Trip,2010-05-02 07:01:55
Milk St,Trip,2010-05-02 07:01:55
State St,Trip,2010-05-02 07:01:55
Commercial St,Trip,2010-05-02 07:01:55
Fulton St,Trip,2010-05-02 07:01:55
Hanover St,Trip,2010-05-02 07:01:55
Cross St,Trip,2010-05-02 07:01:55
Cooper St,Trip,2010-05-02 07:01:55
N Washington St,Trip,2010-05-02 07:01:55
Charlestown Brg,Trip,2010-05-02 07:01:55
Charles River Ave,Trip,2010-05-02 07:01:55
Chelsea St,Trip,2010-05-02 07:01:55
City Sq,Trip,2010-05-02 07:01:55
Constitution Rd,Trip,2010-05-02 07:01:55
Chestnut St,Trip,2010-05-02 07:01:55
Prospect St,Trip,2010-05-02 07:01:55
Tremont St,Trip,2010-05-02 07:01:55
6th St,Trip,2010-05-02 07:01:55
Terry Ring Way,Trip,2010-05-02 07:01:55
Columbia Rd,Trip,2010-05-04 08:42:13
Old Colony Ave,Trip,2010-05-04 08:42:13
Preble St,Trip,2010-05-04 08:42:13
Southampton St,Trip,2010-05-04 08:42:13
Massachusetts Ave,Trip,2010-05-04 08:42:13
Washington St,Trip,2010-05-04 08:42:13
Tremont St,Trip,2010-05-04 08:42:13
Columbus Ave,Trip,2010-05-04 08:42:13
Huntington Ave,Trip,2010-05-04 08:42:13
Longwood Ave,Trip,2010-05-04 08:42:13
Fenwood Rd,Trip,2010-05-04 08:42:13
Newmarket Sq,Trip,2010-05-04 08:42:13
Rogers St,Trip,2010-05-04 08:42:13
Mercer St,Trip,2010-05-04 08:42:13
Old Harbor St,Trip,2010-05-04 08:42:13
L St,Trip,2010-05-06 17:54:15
E Broadway,Trip,2010-05-06 17:54:15
Summer St,Trip,2010-05-06 17:54:15
Seaport Blvd,Trip,2010-05-06 17:54:15
Farnsworth St,Trip,2010-05-06 17:54:15
Atlantic Ave,Trip,2010-05-06 17:54:15
Franklin St,Trip,2010-05-06 17:54:15
Liberty Sq,Trip,2010-05-06 17:54:15
Milk St,Trip,2010-05-06 17:54:15
Federal St,Trip,2010-05-06 17:54:15
Congress St,Trip,2010-05-06 17:54:15
Dorchester Ave,Trip,2010-05-06 17:54:15
B St,Trip,2010-05-06 17:54:15
World Trade Center Ave,Trip,2010-05-06 17:54:15
Seaport Ln,Trip,2010-05-06 17:54:15
Marine Rd,Trip,2010-05-06 17:54:15
Douglas St,Trip,2010-05-06 17:54:15
Call St,Trip,2010-05-30 16:50:10
Crosby Sq,Trip,2010-05-30 16:50:10
Gordon St,Trip,2010-05-30 16:50:10
Amory St,Trip,2010-05-30 16:50:10
Boylston St,Trip,2010-05-30 16:50:10
Centre St,Trip,2010-05-30 16:50:10
Columbus Ave,Trip,2010-05-30 16:50:10
Terrace St,Trip,2010-05-30 16:50:10
Prentiss St,Trip,2010-05-30 16:50:10
Ruggles St,Trip,2010-05-30 16:50:10
Parker St,Trip,2010-05-30 16:50:10
Huntington Ave,Trip,2010-05-30 16:50:10
Fenway,Trip,2010-05-30 16:50:10
Park Dr,Trip,2010-05-30 16:50:10
St Marys St,Trip,2010-05-30 16:50:10
Jamaicaway,Trip,2010-05-30 16:50:10
Perkins St,Trip,2010-05-30 16:50:10
Prince St,Trip,2010-05-30 16:50:10
Arborway,Trip,2010-05-30 16:50:10
Eliot St,Trip,2010-05-30 16:50:10
Pond St,Trip,2010-05-30 16:50:10
South St,Trip,2010-05-30 16:50:10
St Mark St,Trip,2010-05-30 16:50:10
Anson St,Trip,2010-05-30 16:50:10
Beacon St,Trip,2010-06-02 20:53:33
Chestnut Hill Ave,Trip,2010-06-02 20:53:33
Massachusetts Ave,Trip,2010-06-13 17:42:48
Westland Ave,Trip,2010-06-13 17:42:48
Southampton St,Trip,2010-06-13 17:42:48
Preble St,Trip,2010-06-13 17:42:48
Old Colony Ave,Trip,2010-06-13 17:42:48
Columbia Rd,Trip,2010-06-13 17:42:48
Causeway St,Trip,2010-06-15 16:52:03
Lomasney Way,Trip,2010-06-15 16:52:03
Nashua St,Trip,2010-06-15 16:52:03
Charles St,Trip,2010-06-15 16:52:03
Storrow Dr,Trip,2010-06-15 16:52:03
Cambridge St,Trip,2010-06-15 16:52:03
David G Mugar Way,Trip,2010-06-15 16:52:03
Revere St,Trip,2010-06-15 16:52:03
Brimmer St,Trip,2010-06-15 16:52:03
Otis Pl,Trip,2010-06-15 16:52:03
Mt Vernon St,Trip,2010-06-15 16:52:03
Chestnut St,Trip,2010-06-15 16:52:03
Beacon St,Trip,2010-06-15 16:52:03
Hereford St,Trip,2010-06-15 16:52:03
Massachusetts Ave,Trip,2010-06-15 16:52:03
Raleigh St,Trip,2010-06-15 16:52:03
Bay State Rd,Trip,2010-06-15 16:52:03
Deerfield St,Trip,2010-06-15 16:52:03
Boston University Brg,Trip,2010-06-15 16:52:03
Soldiers Field Rd,Trip,2010-06-15 16:52:03
Leverett Cir,Trip,2010-06-20 12:28:26
Nashua St,Trip,2010-06-20 12:28:26
Charles St,Trip,2010-06-20 12:28:26
RT 28,Trip,2010-06-20 12:28:26
Storrow Dr,Trip,2010-06-20 12:28:26
David G Mugar Way,Trip,2010-06-20 12:28:26
Mt Vernon St,Trip,2010-06-20 12:28:26
Otis Pl,Trip,2010-06-20 12:28:26
Chestnut St,Trip,2010-06-20 12:28:26
Beaver Pl,Trip,2010-06-20 12:28:26
Beacon St,Trip,2010-06-20 12:28:26
Massachusetts Ave,Trip,2010-06-20 12:28:26
Raleigh St,Trip,2010-06-20 12:28:26
Bay State Rd,Trip,2010-06-20 12:28:26
Boston University Brg,Trip,2010-06-20 12:28:26
Soldiers Field Rd,Trip,2010-06-20 12:28:26
Western Ave,Trip,2010-06-20 12:28:26
Harvard Way,Trip,2010-06-20 12:28:26
N Harvard St,Trip,2010-06-20 12:28:26
Eliot Brg,Trip,2010-06-20 12:28:26
Leo M Birmingham Pky,Trip,2010-06-20 12:28:26
N Beacon St,Trip,2010-06-20 12:28:26
Nonantum Rd,Trip,2010-06-20 12:28:26
N Harvard St,Trip,2010-06-22 12:15:40
Western Ave,Trip,2010-06-22 12:15:40
Hooker St,Trip,2010-06-22 12:15:40
Empire St,Trip,2010-06-22 12:15:40
Cambridge St,Trip,2010-06-22 12:15:40
Franklin St,Trip,2010-06-22 12:15:40
Brighton Ave,Trip,2010-06-22 12:15:40
Harvard Ave,Trip,2010-06-22 12:15:40
Causeway St,Trip,2010-06-22 12:24:18
Lomasney Way,Trip,2010-06-22 12:24:18
Nashua St,Trip,2010-06-22 12:24:18
Charles St,Trip,2010-06-22 12:24:18
Storrow Dr,Trip,2010-06-22 12:24:18
David G Mugar Way,Trip,2010-06-22 12:24:18
Mt Vernon St,Trip,2010-06-22 12:24:18
Beacon St,Trip,2010-06-22 12:24:18
Massachusetts Ave,Trip,2010-06-22 12:24:18
Commonwealth Ave,Trip,2010-06-22 12:24:18
Brookline Ave,Trip,2010-06-22 12:24:18
Boylston St,Trip,2010-06-22 12:24:18
Columbia Rd,Trip,2010-07-05 08:43:04
Day Blvd,Trip,2010-07-05 08:43:04
Morrissey Blvd,Trip,2010-07-05 08:43:04
William T Morrissey Blvd,Trip,2010-07-05 08:43:04
Old Colony Ter,Trip,2010-07-05 08:43:04
Freeport St,Trip,2010-07-05 08:43:04
Victory Rd,Trip,2010-07-05 08:43:04
Tenean St,Trip,2010-07-05 08:43:04
Conley St,Trip,2010-07-05 08:43:04
Lawley St,Trip,2010-07-05 08:43:04
Water St,Trip,2010-07-05 08:43:04
Taylor St,Trip,2010-07-05 08:43:04
Neponset Ave,Trip,2010-07-05 08:43:04
I 93,Trip,2010-07-05 08:43:04
12,Trip,2010-07-05 08:43:04
Hallet St,Trip,2010-07-05 08:43:04
Hill Top St,Trip,2010-07-05 08:43:04
Granite Ave,Trip,2010-07-05 08:43:04
Bearse Ave,Trip,2010-07-05 08:43:04
Butler St,Trip,2010-07-05 08:43:04
Branchfield St,Trip,2010-07-05 08:43:04
Medway St,Trip,2010-07-05 08:43:04
Mount Vernon St,Trip,2010-07-05 08:43:04
Douglas St,Trip,2010-07-05 08:43:04
Commonwealth Ave,Trip,2010-07-21 10:56:51
Beacon St,Trip,2010-07-21 10:56:51
Clarendon St,Trip,2010-07-21 10:56:51
Tremont St,Trip,2010-07-21 10:56:51
Shawmut Ave,Trip,2010-07-21 10:56:51
Waltham St,Trip,2010-07-21 10:56:51
E 8th St,Trip,2010-08-04 20:43:28
