Start Calendar Date,Start Standard Time,Cad Agency Identifier,Measure By Cad Event Type Cad Event Type Code,Cad Event Type Case Number,Cad Event Type,Cad Event Number,Udo Event Location Full Street Address,Udosam Neighborhood,Latitude,Longitude
2015-02-23T00:00:00,01:00:48 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150094987,342 BLUE HILL AVE,Roxbury,38.55271384406973,-97.4274098542806
2015-02-23T00:00:00,01:00:59 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150094991,1 BEACON ST,Boston,42.35804608146259,-71.06056292953474
2015-02-23T00:00:00,01:10:28 PM,BPD,MISSING,201,INVESTIGATE PERSON,P150095004,391 ADAMS ST,Dorchester,42.29575026906076,-71.05631561857012
2015-02-23T00:00:00,01:12:23 AM,BPD,IVPREM,201,INVESTIGATE PREMISE,P150094197,790 BOYLSTON ST,Boston,42.34884280635151,-71.08175339230439
2015-02-23T00:00:00,01:26:02 PM,BPD,CD24,201,209A Service,P150095030,343 BOWDOIN ST,Dorchester,42.308936982356954,-71.0640900643042
2015-02-23T00:00:00,01:30:08 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150095039,91 BELLEVUE ST,Roxbury,42.92869233098736,-72.26157977978221
2015-02-23T00:00:00,01:36:02 PM,BPD,FO,201,OTHER TYPE FIRE,P150095057,58 BOWDOIN AVE,Dorchester,42.30117405963625,-71.07460463549472
2015-02-23T00:00:00,01:50:45 PM,BPD,INVEST,201,INVESTIGATION,P150095088,11 BELDEN ST,Dorchester,42.317920171779576,-71.06593371496814
2015-02-23T00:00:00,01:55:41 PM,BPD,IVPREM,201,INVESTIGATE PREMISE,P150095095,16 AKRON ST,Roxbury,42.325846718052674,-71.08567345436563
2015-02-23T00:00:00,01:56:40 PM,BPD,VAND,201,VANDALISM,P150095099,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-23T00:00:00,01:59:17 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095107,1575 BLUE HILL AVE,Mattapan,42.26997026821442,-71.09379819413056
2015-02-23T00:00:00,01:59:49 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150095105,1575 BLUE HILL AVE,Mattapan,42.26997026821442,-71.09379819413056
2015-02-23T00:00:00,02:03:02 PM,BPD,CD8,,School Crossing,P150095110,312 BORDER ST,East Boston,42.37841984290253,-71.04003515110054
2015-02-23T00:00:00,02:07:14 PM,BPD,LARCENY,201,LARCENY,P150095120,117 BOSTON ST,Dorchester,42.325661488288176,-71.0589998115912
2015-02-23T00:00:00,02:09:18 PM,BPD,CD19,201,Walk and Talk,P150095125,1091 BENNINGTON ST,East Boston,42.387649285587145,-71.00367083124303
2015-02-23T00:00:00,02:10:26 AM,BPD,ABAN,201,ABANDONED CALL  (P),P150094243,645 BEACON ST,Fenway/Kenmore,50.206740038000476,-5.2872799419996
2015-02-23T00:00:00,02:13:53 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150095136,268 BENNINGTON ST,East Boston,42.37864542344863,-71.02907221930667
2015-02-23T00:00:00,02:22:54 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150095148,179 BOYLSTON ST,Jamaica Plain,42.31505798673777,-71.10211370528248
2015-02-23T00:00:00,02:26:01 PM,BPD,CD19,201,Walk and Talk,P150095154,14 ALLSTATE RD,Dorchester,42.32517871332806,-71.06435093244875
2015-02-23T00:00:00,02:36:37 PM,BPD,LARCENY,201,LARCENY,P150095171,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-23T00:00:00,02:37:01 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095172,535 BOYLSTON ST,Boston,42.35062653878481,-71.07544810604446
2015-02-23T00:00:00,02:40:00 AM,BPD,FIGHT,201,FIGHT,P150094261,254 BENNINGTON ST,East Boston,42.37854517422153,-71.02929230499507
2015-02-23T00:00:00,02:40:00 AM,BPD,STAB,201,PERSON STABBED   (P) (E),P150094261,254 BENNINGTON ST,East Boston,42.37854517422153,-71.02929230499507
2015-02-23T00:00:00,02:45:39 PM,BPD,SS,201,SUSPECT STOP,P150095187,268 BENNINGTON ST,East Boston,42.37864542344863,-71.02907221930667
2015-02-23T00:00:00,02:50:29 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150095192,948 BENNINGTON ST,East Boston,42.38618295358157,-71.00834771597351
2015-02-23T00:00:00,02:54:51 PM,BPD,SS,201,SUSPECT STOP,P150095198,1100 BLUE HILL AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-23T00:00:00,02:58:22 AM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150094278,15 BISMARCK ST,Mattapan,42.269774380584295,-71.10007582533825
2015-02-23T00:00:00,03:14:07 PM,BPD,MISSING,201,INVESTIGATE PERSON,P150095221,104 BENNINGTON ST,East Boston,42.37643534671497,-71.03500992746535
2015-02-23T00:00:00,03:16:19 AM,BPD,ABAN,201,ABANDONED CALL  (P),P150094286,774 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-23T00:00:00,03:19:05 PM,BPD,PROP,201,PROPERTY,P150095228,6 BECKET ST,Dorchester,42.28167745195395,-71.06491279289025
2015-02-23T00:00:00,03:22:16 PM,BPD,LARCENY,201,LARCENY,P150095236,312 BORDER ST,East Boston,42.37841984290253,-71.04003515110054
2015-02-23T00:00:00,03:30:38 AM,BPD,ABAN,201,ABANDONED CALL  (P),P150094293,01 BEECHWOOD ST,Dorchester,42.30505839073322,-71.07496676640233
2015-02-23T00:00:00,03:44:58 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150095276,10 ASHLEY ST,Jamaica Plain,42.32075132751282,-71.10369859941
2015-02-23T00:00:00,03:58:36 AM,BPD,INVEST,201,INVESTIGATION,P150094304,725 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-23T00:00:00,04:00:31 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150095304,33 ARCH ST,Boston,42.35618975485443,-71.05780782317169
2015-02-23T00:00:00,04:01:40 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095306,330 BOWDOIN ST,Dorchester,42.30828844165933,-71.06488699673667
2015-02-23T00:00:00,04:14:51 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095334,108 BABSON ST,Mattapan,42.27218610600511,-71.09198795867655
2015-02-23T00:00:00,04:15:34 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150095339,134 BLAKE ST,Hyde Park,42.26896202208076,-71.10479096183263
2015-02-23T00:00:00,04:15:54 AM,BPD,CD5,201,Prisoner Transport,P150094308,27 CANTERBURY ST,Mattapan,51.27597021100047,1.0756100820004235
2015-02-23T00:00:00,04:19:08 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150095348,1575 BLUE HILL AVE,Mattapan,42.26997026821442,-71.09379819413056
2015-02-23T00:00:00,04:21:43 PM,BPD,MVA,201,MOTOR VEHICLE ACCIDENT,P150095353,580 BLUE HILL AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-23T00:00:00,04:22:06 PM,BPD,LARCENY,201,LARCENY,P150095356,1575 BLUE HILL AVE,Mattapan,42.26997026821442,-71.09379819413056
2015-02-23T00:00:00,04:32:21 AM,BPD,IVPER,201,INVESTIGATE PERSON,P150094313,98 BOYLSTON ST,Boston,42.3524022051987,-71.06532185312022
2015-02-23T00:00:00,04:34:29 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095383,1203 BLUE HILL AVE,Mattapan,42.28328027586514,-71.09190384238758
2015-02-23T00:00:00,04:37:16 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150095389,6 BEACON ST,Boston,42.25265492928264,-71.11778524449261
2015-02-23T00:00:00,04:39:39 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095397,776 BOYLSTON ST,Boston,42.348852024402504,-71.08172343228978
2015-02-23T00:00:00,04:44:27 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150095406,276 ADAMS ST,Dorchester,39.128550519092244,-89.81594417348407
2015-02-23T00:00:00,05:12:50 PM,BPD,PROP,201,PROPERTY,P150095469,600 BOYLSTON ST,Boston,42.350114682447725,-71.0771413181165
2015-02-23T00:00:00,05:14:16 PM,BPD,CD19,201,Walk and Talk,P150095473,39 BOYLSTON ST,Boston,42.31800313603702,-71.10852205115094
2015-02-23T00:00:00,05:15:30 PM,BPD,IVPREM,201,INVESTIGATE PREMISE,P150095476,1 ASPINWALL RD,Dorchester,42.291906257269034,-71.07213759996944
2015-02-23T00:00:00,05:19:54 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150095485,29 BOURNE ST,Jamaica Plain,42.292064119764404,-71.11422123661998
2015-02-23T00:00:00,05:20:10 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150095486,400 ATLANTIC AVE,Boston,42.355602091064725,-71.05081462479427
2015-02-23T00:00:00,05:26:40 PM,BPD,UNK,201,UNKNOWN PROBLEM,P150095498,772 ADAMS ST,Dorchester,42.28350727464209,-71.05563807653516
2015-02-23T00:00:00,05:27:11 PM,BPD,CD19,201,Walk and Talk,P150095497,650 AMERICAN LEGION HWY,Roslindale,42.284652277082046,-71.1115428127498
2015-02-23T00:00:00,05:44:33 AM,BPD,ALARM,201,ALARM,P150094334,64A BLUE HILL AVE,Roxbury,42.32276981537575,-71.07670045516107
2015-02-23T00:00:00,05:44:44 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150095525,900 BOYLSTON ST,Boston,42.34807308200823,-71.08461220308988
2015-02-23T00:00:00,05:52:31 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095548,1 BEACON ST,Boston,42.35804608146259,-71.06056292953474
2015-02-23T00:00:00,05:52:58 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150095541,4 BELGRADE AVE,Roslindale,42.28700329826472,-71.13017112139931
2015-02-23T00:00:00,05:57:50 PM,BPD,CD16,201,Tagging,P150095551,446 BELGRADE AVE,Roxbury,42.286487075719094,-71.14979217636704
2015-02-23T00:00:00,06:12:14 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095582,542 BLUE HILL AVE,Roxbury,38.55271384406973,-97.4274098542806
2015-02-23T00:00:00,06:12:57 PM,BPD,UNCONS,201,UNCONSCIOUS PERSON   (E) (F) (P),P150095583,23 BEACON ST,Boston,42.25306398951261,-71.11697519005219
2015-02-23T00:00:00,06:13:40 PM,BPD,REQP,201,Request BPD Response,P150095586,252 BOWDOIN ST,Dorchester,42.30642155161439,-71.0668613018068
2015-02-23T00:00:00,06:15:29 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095589,22 BEECHWOOD ST,Dorchester,42.30552161892865,-71.07456084840362
2015-02-23T00:00:00,06:20:09 AM,BPD,FIGHT,201,FIGHT,P150094355,39 BOYLSTON ST,Boston,42.31800313603702,-71.10852205115094
2015-02-23T00:00:00,06:20:24 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150095609,186 ADAMS ST,Dorchester,42.30262363007756,-71.06030827480623
2015-02-23T00:00:00,06:20:24 PM,BPD,MISSING,201,INVESTIGATE PERSON,P150095609,186 ADAMS ST,Dorchester,42.30262363007756,-71.06030827480623
2015-02-23T00:00:00,06:32:07 PM,BPD,ALARM,201,ALARM,P150095635,124 BIRCH ST,Roslindale,42.28385641664141,-71.13347010446091
2015-02-23T00:00:00,06:33:30 AM,BPD,CD8,,School Crossing,P150094368,312 BORDER ST,East Boston,42.37841984290253,-71.04003515110054
2015-02-23T00:00:00,06:40:25 AM,BPD,FIGHT,201,FIGHT,P150094372,648 ADAMS ST,Dorchester,42.2877591946322,-71.05492481432788
2015-02-23T00:00:00,06:53:07 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150095659,895 BLUE HILL AVE,Mattapan,42.267262299816366,-71.09459831915626
2015-02-23T00:00:00,07:02:14 AM,BPD,POISON,201,POISONING / OVERDOSE,P150094398,39 BOYLSTON ST,Boston,42.31800313603702,-71.10852205115094
2015-02-23T00:00:00,07:03:19 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150095680,217 BOWDOIN ST,Dorchester,42.305630203072496,-71.06770316257007
2015-02-23T00:00:00,07:05:55 PM,BPD,CD19,201,Walk and Talk,P150095681,300 BORDER ST,East Boston,42.37812220147953,-71.04001172106325
2015-02-23T00:00:00,07:16:33 AM,BPD,MISC,201,MISCELLANEOUS CALLS,P150094411,50 ARMANDINE ST,Dorchester,42.28446251653298,-71.07326453143219
2015-02-23T00:00:00,07:25:54 AM,BPD,ARREST,201,ARREST REPORT,P150094420,218 BLUE HILL AVE,Roxbury,42.31703406706964,-71.07801423786594
2015-02-23T00:00:00,07:25:54 AM,BPD,IVPER,201,INVESTIGATE PERSON,P150094420,218 BLUE HILL AVE,Roxbury,42.31703406706964,-71.07801423786594
2015-02-23T00:00:00,07:27:47 PM,BPD,CD9,201,Station Assignment,P150095709,330 BOWDOIN ST,Dorchester,42.30828844165933,-71.06488699673667
2015-02-23T00:00:00,07:30:32 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150095718,11 BRIMMER ST,Boston,42.35831917229308,-71.0717654128427
2015-02-23T00:00:00,07:49:05 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095751,774 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-23T00:00:00,07:51:43 PM,BPD,MISC,201,MISCELLANEOUS CALLS,P150095758,17 ALVARADO AVE,Hyde Park,42.24702488009524,-71.13793750111398
2015-02-23T00:00:00,07:53:30 PM,BPD,CD9,201,Station Assignment,P150095754,374 ASHMONT ST,Dorchester,42.287605941162326,-71.05736995675727
2015-02-23T00:00:00,08:09:18 AM,BPD,PKNIFE,201,PERSON WITH A KNIFE,P150094498,39 BOYLSTON ST,Boston,42.31800313603702,-71.10852205115094
2015-02-23T00:00:00,08:10:49 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150095789,80 ANNUNCIATION RD,Mission Hill,42.33480506820041,-71.09393476967307
2015-02-23T00:00:00,08:12:35 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150095792,33 BROOKLEDGE ST,Roxbury,44.80939086900048,-65.16763099999963
2015-02-23T00:00:00,08:12:35 PM,BPD,REQP,201,Request BPD Response,P150095792,33 BROOKLEDGE ST,Roxbury,44.80939086900048,-65.16763099999963
2015-02-23T00:00:00,08:12:57 AM,BPD,CD24,201,209A Service,P150094497,391 ADAMS ST,Dorchester,42.29575026906076,-71.05631561857012
2015-02-23T00:00:00,08:15:18 PM,BPD,CD11,201,Warrant Service,P150095797,74 AMERICAN LEGION HWY,Mattapan,42.267262299816366,-71.09459831915626
2015-02-23T00:00:00,08:29:30 AM,BPD,CD11,201,Warrant Service,P150094530,58 ADAMS ST,Dorchester,42.30675571270706,-71.06211044424077
2015-02-23T00:00:00,08:37:24 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150095841,950 AMERICAN LEGION HWY,Hyde Park,-26.12547006199958,28.034169923000434
2015-02-23T00:00:00,08:37:52 AM,BPD,CD9,201,Station Assignment,P150094543,129 AMORY ST,Jamaica Plain,43.27924267491062,-90.04401964039334
2015-02-23T00:00:00,08:46:18 AM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150094562,36 BROOKLEDGE ST,Roxbury,44.80939086900048,-65.16763099999963
2015-02-23T00:00:00,08:50:08 AM,BPD,IVPER,201,INVESTIGATE PERSON,P150094567,3 BROOKFORD ST,Roxbury,44.80939086900048,-65.16763099999963
2015-02-23T00:00:00,09:01:20 AM,BPD,CD11,201,Warrant Service,P150094587,7 BRENTON ST,Mattapan,50.42345000500046,-3.8332099489995812
2015-02-23T00:00:00,09:03:58 AM,BPD,ALARM,201,ALARM,P150094592,31 ALEXANDER ST,Roxbury,40.90989864011124,-74.64267975416652
2015-02-23T00:00:00,09:04:53 AM,BPD,VAND,201,VANDALISM,P150094596,165 BEACON ST,Boston,42.35460306298205,-71.0754930451671
2015-02-23T00:00:00,09:06:17 AM,BPD,CD19,201,Walk and Talk,P150094595,39 BOYLSTON ST,Boston,42.31800313603702,-71.10852205115094
2015-02-23T00:00:00,09:09:54 PM,BPD,DISTRB,201,DISTURBANCE,P150095876,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-23T00:00:00,09:11:28 PM,BPD,CD19,201,Walk and Talk,P150095875,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-23T00:00:00,09:14:40 AM,BPD,CD19,201,Walk and Talk,P150094606,650 AMERICAN LEGION HWY,Roslindale,42.284652277082046,-71.1115428127498
2015-02-23T00:00:00,09:22:18 AM,BPD,ALARM,201,ALARM,P150094622,62 ALDRICH ST,Roslindale,42.28458581088756,-71.14096108838271
2015-02-23T00:00:00,09:24:21 AM,BPD,CD19,201,Walk and Talk,P150094624,520 ALBANY ST,South End,-33.969619980999596,25.625989797000443
2015-02-23T00:00:00,09:25:19 PM,BPD,DISTRB,201,DISTURBANCE,P150095904,647 BENNINGTON ST,East Boston,42.383702787954405,-71.01539117746006
2015-02-23T00:00:00,09:26:25 AM,BPD,BE,201,BREAKING AND ENTERING,P150094634,1288 BLUE HILL AVE,Mattapan,42.27984878039797,-71.0927864901036
2015-02-23T00:00:00,09:26:25 AM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150094634,1288 BLUE HILL AVE,Mattapan,42.27984878039797,-71.0927864901036
2015-02-23T00:00:00,09:31:22 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095909,5 BAILEY ST,Dorchester,42.283182331600415,-71.0706822684711
2015-02-23T00:00:00,09:34:55 AM,BPD,INVEST,201,INVESTIGATION,P150094639,12 ALWARD RD,Roxbury,42.29437559685738,-71.13946196979327
2015-02-23T00:00:00,09:52:58 AM,BPD,CD11,201,Warrant Service,P150094667,130 CALLENDER ST,Mattapan,42.267262299816366,-71.09459831915626
2015-02-23T00:00:00,09:54:27 AM,BPD,CD19,201,Walk and Talk,P150094671,39 BOYLSTON ST,Boston,42.31800313603702,-71.10852205115094
2015-02-23T00:00:00,10:01:54 AM,BPD,MISC,201,MISCELLANEOUS CALLS,P150094680,33 ARCH ST,Boston,42.35618975485443,-71.05780782317169
2015-02-23T00:00:00,10:04:03 AM,BPD,IVPREM,201,INVESTIGATE PREMISE,P150094686,144 BLAKE ST,Hyde Park,42.26919708687717,-71.10460890127894
2015-02-23T00:00:00,10:08:13 PM,BPD,IVMV,201,INVESTIGATE MOTOR VEHICLE,P150095955,107 BROOKLINE ST,South End,45.33733785076231,-122.61848751568562
2015-02-23T00:00:00,10:10:41 PM,BPD,ABAN,201,ABANDONED CALL  (P),P150095958,66 BEACON ST,Boston,42.254465163837324,-71.11468445402352
2015-02-23T00:00:00,10:10:53 AM,BPD,DISTRB,201,DISTURBANCE,P150094705,551 BOYLSTON ST,Boston,42.35050670142425,-71.07589749547225
2015-02-23T00:00:00,10:14:20 PM,BPD,IVPER,201,INVESTIGATE PERSON,P150095963,551 BOYLSTON ST,Boston,42.35050670142425,-71.07589749547225
2015-02-23T00:00:00,10:22:32 AM,BPD,BE,201,BREAKING AND ENTERING,P150094724,800 BOYLSTON ST,Boston,42.348601979598754,-71.0827236133033
2015-02-23T00:00:00,10:32:05 AM,BPD,IVPER,201,INVESTIGATE PERSON,P150094740,40 BOYLSTON ST,Boston,42.3523019559716,-71.06384232356356
