routeid,created_utc,activitytype,latitude,longitude,distance_m,n_points
449a745e86c38e9698989056657d56c9,2010-04-05 20:01:31.084000,Running,42.34645,-71.11662,8210.279057626829,65
cfaecfc929176355f0f82fe3241e44f8,2010-04-05 21:25:49.765000,Running,42.3332,-71.11876,4919.185807758213,44
62725abe1653104ff8403759713ebb4a,2010-04-05 21:26:34.490000,Running,42.3332,-71.11876,8126.535388761855,64
9cf8dab40a4a5f1f48797d3dcc9fbc0f,2010-04-05 21:50:24.454000,Running,42.3332,-71.11876,3219.928603393959,34
c3ee571a8b367a418afdb1ae520e10aa,2010-04-06 19:09:24.686000,Running,42.34512,-71.1186,10383.88257733594,127
ee151209bfe4b9e8a9a9b45158c34705,2010-04-07 19:53:45.087000,Running,42.36165,-71.10355,4601.061245900859,64
dc185e309115219fc732c13852dba904,2010-04-08 13:21:31.894000,Running,42.36229,-71.10759,7652.643296284697,49
411afdc0e39698369055a46618705b9e,2010-04-08 18:35:24.807000,Running,42.36318,-71.05158,5271.013537502254,91
b3b3935c6ad525cbdeb6a1a3e0c17475,2010-04-09 01:44:25.172000,Running,42.365572,-71.078132,4706.418196825897,54
f6c6265d851df42fea88ec8fb5e898ee,2010-04-09 04:56:26.484000,Running,42.354764,-71.099916,4222.270994705957,114
e9e9da5fff46775ce4f3c6f7a0593cf7,2010-04-09 05:16:50.329000,Running,42.354689,-71.100388,5501.806768225466,205
660a7bac8415b8663dd8142b28a45554,2010-04-09 05:28:34.045000,Running,42.35727,-71.09263,4756.990063044801,175
50d0a4c474304e87f93dc571ebc7f1c5,2010-04-09 15:56:58.856000,Running,42.39455,-71.12134,4954.4321297006,22
bebb657b8029c9816abac4542c50155d,2010-04-11 20:02:01.139000,Running,42.34455,-71.03961,7558.958169825302,97
987d64b5a2c948a8a1c125d500bf188d,2010-04-11 20:02:52.563000,Running,42.34414,-71.11438,3511.8433183570864,44
9db015cba6ee7a45e15a4b87163bc111,2010-04-11 22:37:26.627000,Running,42.342964,-71.094531,2655.3221303064706,66
9e0b32bba0b1976112890de1e9664f19,2010-04-13 16:35:53.595000,Walking,42.35702,-71.05255,2592.513326925394,59
ae6a77d8785de59c20ab0ff7f49437df,2010-04-13 16:37:53.102000,Running,42.37557,-71.05924,1972.4970046588837,39
1776b634a2a28471db9a94ce84363598,2010-04-13 16:40:53.121000,Running,42.37425,-71.05893,3494.3781083391646,43
1c8f0632acb09730c05269d1dab25583,2010-04-13 16:46:24.881000,Running,42.37264,-71.0599,5042.996865266213,50
ccb56a5c26cec8a7d583377da0384ccb,2010-04-14 14:42:57.789000,Running,42.3306,-71.10851,1654.2189875422027,25
1f430d82e7713662ffdc2f0f776a1eec,2010-04-14 22:35:17.766000,Running,42.34286,-71.09702,3230.5826616288555,58
f54b781e6b80e95362fca723e8187ecb,2010-04-16 03:03:37.690000,Running,42.362303,-71.107678,10608.644476059453,59
059a2fc45bf40852f404e763bda7655a,2010-04-16 15:37:08.451000,Running,42.356964,-71.09267,6437.289808576554,172
